,src_ip,timestampmint,timestampmaxt
0,192.168.107.100,11:00:18.220,15:10:39.030
1,192.168.107.101,08:56:02.150,17:05:23.200
2,192.168.107.102,08:01:12.360,12:00:44.490
3,192.168.107.103,10:20:25.450,19:52:34.160
4,192.168.107.104,05:53:31.160,17:47:37.570
5,192.168.107.105,12:53:26.260,21:40:57.450
6,192.168.107.106,10:54:22.420,16:31:44.300
7,192.168.107.107,09:16:41.940,22:16:31.190
8,192.168.107.108,08:58:28.520,12:24:26.160
9,192.168.107.109,04:38:03.310,16:19:24.610
10,192.168.107.11,05:55:47.700,15:37:33.230
11,192.168.107.110,06:55:27.760,18:57:11.200
12,192.168.107.111,09:35:06.310,14:45:07.870
13,192.168.107.112,11:52:41.710,18:29:01.980
14,192.168.107.113,10:59:29.880,15:28:45.920
15,192.168.107.114,09:47:37.250,13:37:11.920
16,192.168.107.115,10:47:32.310,19:21:27.860
17,192.168.107.116,11:16:55.530,16:17:40.580
18,192.168.107.117,07:30:29.220,18:09:45.130
19,192.168.107.118,09:17:51.970,15:44:25.010
20,192.168.107.119,10:43:01.180,17:56:39.420
21,192.168.107.12,05:22:34.120,14:20:01.260
22,192.168.107.120,05:40:44.560,17:35:49.190
23,192.168.107.121,07:24:54.010,13:07:41.960
24,192.168.107.122,10:06:55.540,11:25:17.080
25,192.168.107.123,11:54:32.520,16:20:10.470
26,192.168.107.124,07:26:00.650,20:24:33.810
27,192.168.107.125,07:50:16.970,11:19:51.510
28,192.168.107.126,08:45:56.330,14:29:06.490
29,192.168.107.127,07:49:20.770,16:50:44.170
30,192.168.107.128,08:46:17.620,18:20:17.560
31,192.168.107.129,08:10:00.680,11:03:48.490
32,192.168.107.13,09:15:18.240,17:24:01.490
33,192.168.107.130,08:06:30.890,16:42:08.340
34,192.168.107.131,11:19:48.520,18:04:52.520
35,192.168.107.132,08:33:08.120,16:33:13.950
36,192.168.107.133,08:25:21.720,21:56:35.120
37,192.168.107.134,07:49:34.330,15:00:37.680
38,192.168.107.135,09:18:45.990,17:25:49.260
39,192.168.107.136,08:50:50.470,19:24:19.010
40,192.168.107.137,09:59:04.030,17:34:14.400
41,192.168.107.138,05:32:30.940,21:31:12.680
42,192.168.107.139,06:56:09.640,20:24:26.250
43,192.168.107.14,07:47:54.450,18:30:55.870
44,192.168.107.140,05:06:03.600,21:24:43.270
45,192.168.107.141,09:27:31.300,11:00:04.930
46,192.168.107.142,07:39:50.130,09:40:46.230
47,192.168.107.143,11:53:11.360,12:06:14.540
48,192.168.107.144,11:33:16.390,15:05:21.190
49,192.168.107.145,08:06:03.630,12:08:14.270
50,192.168.107.146,09:28:00.790,22:02:47.000
51,192.168.107.147,09:08:57.430,10:36:34.490
52,192.168.107.148,08:43:29.130,15:31:25.440
53,192.168.107.149,11:56:38.600,19:56:57.930
54,192.168.107.15,07:45:43.590,14:56:05.520
55,192.168.107.150,06:52:07.220,19:48:06.020
