,src_ip,dst_ip
0,192.168.107.100,"{'191.237.252.35': 1, '15.177.87.83': 4, '142.250.184.174': 329, '88.221.64.44': 30, '88.157.217.148': 33, '104.244.42.129': 220, '157.240.212.35': 393, '45.60.74.62': 20, '88.157.217.145': 180, '157.240.212.60': 128, '13.107.42.14': 89, '66.254.114.41': 75, '176.9.67.69': 165, '15.197.34.67': 2, '213.13.146.142': 258, '34.3.4.73': 1, '142.250.200.132': 381, '204.79.197.212': 110, '104.26.14.51': 13, '52.95.230.125': 5, '193.126.240.146': 224, '157.240.212.174': 193, '104.26.3.211': 50, '185.15.58.224': 130, '104.16.249.130': 42, '13.105.29.40': 1, '162.219.224.115': 15, '138.1.81.243': 7, '172.64.154.211': 35, '104.22.48.100': 26, '3.160.132.100': 147, '15.230.35.23': 2, '88.157.217.146': 93, '23.103.191.228': 1, '142.250.200.99': 211, '130.35.229.53': 12, '185.88.181.9': 124, '178.79.148.226': 5, '40.93.68.66': 3, '13.34.38.17': 2, '54.240.245.91': 6, '34.148.218.14': 15, '65.55.212.167': 4, '129.149.23.39': 2, '185.31.158.223': 34, '185.88.181.60': 37, '52.94.28.179': 7, '193.137.20.123': 49, '20.136.4.107': 3, '62.28.254.215': 34, '40.93.16.143': 2, '62.28.254.212': 108, '72.52.178.23': 2, '23.223.98.11': 11, '205.251.225.130': 7, '199.232.194.137': 15, '52.94.254.85': 5, '54.239.101.241': 5, '134.70.62.114': 3, '69.164.202.221': 10, '52.123.7.130': 6, '72.14.179.135': 6, '20.140.92.38': 5, '104.26.13.207': 18, '173.255.206.19': 7, '54.239.101.17': 5, '3.160.132.61': 8, '15.230.190.110': 2, '34.3.3.216': 8, '20.195.140.9': 1, '157.55.50.2': 7, '52.144.197.244': 4, '52.239.155.120': 2, '157.55.48.84': 4, '178.79.165.184': 7, '104.244.47.87': 9, '3.160.132.39': 44, '130.35.100.188': 3, '15.230.39.161': 16, '52.108.121.173': 10, '52.94.199.151': 1, '35.71.69.237': 3, '131.253.35.245': 3, '151.101.134.167': 8, '52.239.149.215': 1, '150.222.87.51': 2, '143.198.243.0': 1, '52.119.206.210': 9, '69.164.202.135': 5, '52.165.104.34': 3, '52.119.207.197': 18, '150.222.71.32': 3, '172.67.70.203': 1, '40.123.161.168': 6, '50.116.5.216': 3, '207.46.198.234': 9, '40.97.35.234': 9, '130.176.255.53': 12, '176.32.125.86': 3, '191.233.52.163': 1, '52.102.164.233': 5, '13.34.32.38': 4, '40.77.139.106': 23, '52.94.248.95': 4, '15.230.18.172': 14, '52.126.198.52': 10, '72.14.183.66': 1, '52.126.205.165': 1, '199.16.158.54': 2, '40.79.94.62': 2, '13.107.16.11': 3, '13.34.27.37': 3, '198.211.109.121': 15, '15.230.5.6': 5, '134.70.61.135': 1, '192.26.25.71': 1, '66.246.75.131': 13, '178.79.150.241': 1, '40.96.55.188': 6, '157.55.48.26': 5, '150.222.87.3': 2, '20.42.161.51': 9, '13.107.6.156': 3, '143.244.204.30': 12, '97.107.142.250': 2, '69.55.54.66': 4, '2.21.39.20': 4, '199.30.31.122': 3, '13.34.23.75': 10, '13.105.108.86': 3, '143.42.171.149': 8, '69.164.202.174': 4, '52.46.249.118': 9, '52.94.29.226': 2, '70.37.162.173': 3, '129.148.164.79': 4, '177.72.242.56': 2, '198.211.105.132': 1, '51.141.135.120': 3, '54.240.235.55': 8, '172.104.219.125': 4, '216.39.140.129': 2, '40.82.7.211': 9, '138.1.16.147': 4, '157.56.165.227': 7, '52.185.120.91': 7, '137.184.240.33': 14, '192.133.76.161': 1, '40.96.61.23': 5, '23.97.126.180': 3, '20.201.223.38': 5, '40.66.1.199': 10, '76.223.168.125': 5}"
1,192.168.107.101,"{'185.88.181.9': 30, '199.96.62.94': 2, '157.240.212.174': 46, '157.240.212.60': 32, '104.244.42.129': 73, '213.13.146.142': 56, '204.79.197.212': 72, '142.250.184.174': 99, '88.157.217.145': 69, '3.160.132.100': 113, '142.250.200.132': 150, '62.28.254.215': 23, '142.250.200.99': 58, '13.107.16.30': 1, '66.254.114.41': 18, '13.107.42.14': 39, '176.9.67.69': 61, '3.160.132.39': 11, '185.15.58.224': 73, '129.146.14.220': 3, '185.31.158.223': 42, '52.93.76.151': 3, '34.148.218.14': 5, '52.239.151.234': 4, '3.4.4.218': 2, '191.235.250.107': 3, '193.126.240.146': 36, '104.26.3.211': 10, '199.232.194.137': 18, '88.157.217.146': 44, '62.28.254.212': 26, '157.240.212.35': 120, '193.137.20.123': 11, '205.251.253.159': 6, '18.34.239.40': 4, '40.93.68.81': 32, '52.108.135.116': 9, '198.74.62.126': 3, '207.192.70.245': 3, '150.222.178.204': 10, '139.144.242.49': 4, '104.16.249.130': 6, '20.195.130.91': 8, '52.126.204.185': 13, '13.34.47.121': 11, '52.176.161.192': 1, '150.222.214.119': 7, '13.107.6.156': 3, '104.26.13.207': 4, '74.207.236.203': 8, '157.55.37.215': 7, '23.103.199.142': 1, '208.81.190.24': 4, '88.157.217.148': 15, '198.58.105.33': 7, '13.107.54.79': 1, '129.149.22.102': 22, '208.86.91.152': 4, '72.14.177.59': 3, '131.253.27.20': 2, '70.37.163.176': 6, '52.253.155.187': 2, '173.230.156.207': 1, '162.219.224.115': 1, '69.55.55.83': 3, '140.91.9.78': 3, '170.187.135.234': 7, '3.160.132.55': 2, '72.52.178.23': 1, '147.154.54.20': 12, '150.222.106.78': 3, '51.141.138.230': 17, '150.222.219.246': 4, '3.230.129.93': 23, '52.239.169.189': 2, '40.93.68.28': 7, '13.107.22.86': 10, '151.236.222.191': 11, '151.101.1.140': 2}"
2,192.168.107.102,"{'142.250.200.132': 229, '142.250.184.174': 260, '3.160.132.100': 123, '204.79.197.212': 60, '88.157.217.146': 84, '45.79.1.169': 5, '172.104.192.197': 1, '142.250.200.99': 134, '157.240.212.174': 215, '185.31.158.223': 25, '51.0.116.194': 8, '157.240.212.60': 89, '157.240.212.35': 206, '34.148.218.14': 2, '62.28.254.212': 114, '51.8.147.35': 1, '193.126.240.146': 192, '150.222.138.178': 1, '185.89.219.66': 10, '62.28.254.215': 10, '104.16.249.130': 42, '70.37.160.44': 10, '88.157.217.145': 127, '207.46.198.140': 12, '193.137.20.123': 44, '213.13.146.142': 216, '151.101.134.167': 13, '185.15.58.224': 98, '66.254.114.41': 55, '104.244.42.129': 172, '13.107.6.156': 9, '185.88.181.9': 85, '13.107.234.95': 1, '20.140.81.248': 4, '137.116.96.74': 3, '139.144.252.174': 3, '208.68.38.141': 1, '157.55.37.133': 3, '23.223.98.11': 17, '88.221.64.44': 2, '52.144.192.250': 5, '50.116.3.253': 3, '131.253.33.231': 7, '159.248.242.92': 4, '192.30.255.37': 7, '72.52.178.23': 1, '52.219.26.18': 4, '199.232.194.137': 8, '8.8.8.233': 8, '74.207.254.223': 6, '104.26.3.211': 12, '15.177.87.53': 8, '3.2.50.141': 5, '3.160.132.61': 3, '191.237.202.230': 2, '185.88.181.60': 3, '176.9.67.69': 106, '143.42.164.201': 8, '40.77.133.185': 14, '173.230.156.98': 18, '3.160.132.55': 9, '172.64.154.211': 5, '40.66.0.163': 5, '34.3.1.66': 3, '52.239.166.177': 6, '13.34.95.74': 4, '13.107.42.14': 30, '70.37.8.66': 4, '150.222.102.170': 3, '143.42.165.56': 3, '88.157.217.148': 11, '13.34.47.165': 7, '52.165.60.201': 4, '198.74.57.243': 4, '162.219.224.115': 8, '52.108.133.221': 21, '3.160.132.39': 6, '52.165.103.252': 12, '205.251.228.86': 2, '52.94.29.114': 7, '65.55.252.33': 4, '20.195.128.191': 1, '68.221.149.127': 8, '97.107.140.67': 6, '207.46.205.221': 5, '172.67.70.203': 7, '157.56.8.150': 2, '15.177.88.101': 6, '157.55.37.193': 4, '40.123.136.147': 4, '15.230.143.143': 1, '15.230.74.17': 3, '104.22.48.100': 2, '198.211.98.51': 3, '150.222.228.126': 3, '51.0.113.197': 6, '20.201.231.101': 8, '207.46.13.78': 3, '104.26.14.51': 13, '136.18.50.37': 3, '129.149.2.73': 6, '52.94.22.159': 4, '45.60.74.62': 20, '96.0.106.132': 3, '129.146.2.193': 4, '40.82.84.116': 3, '205.251.248.27': 1, '172.104.10.26': 4, '168.61.130.247': 3, '54.239.107.63': 3, '192.30.252.239': 5, '15.230.190.10': 2, '40.77.246.126': 3, '40.79.232.182': 2, '52.245.152.149': 18, '150.222.87.202': 8, '52.115.76.30': 1, '52.103.142.17': 1, '20.140.163.72': 3, '157.55.139.115': 7, '50.116.6.150': 4, '35.71.121.180': 9, '54.240.232.146': 9, '13.34.27.35': 5, '192.29.128.87': 6, '52.115.90.243': 6, '3.5.160.103': 1, '140.204.12.207': 3, '52.239.167.10': 6, '40.66.1.37': 16, '143.244.212.87': 5, '20.95.56.2': 4, '40.77.166.105': 7, '20.34.50.216': 1}"
3,192.168.107.103,"{'204.79.197.212': 40, '88.157.217.145': 113, '104.244.42.129': 38, '65.52.32.251': 6, '80.85.86.91': 1, '13.34.7.118': 9, '176.9.67.69': 50, '162.243.186.85': 2, '193.137.20.123': 18, '157.240.212.174': 81, '13.34.14.185': 2, '185.15.58.224': 96, '66.254.114.41': 5, '142.250.200.132': 116, '185.88.181.9': 51, '151.101.134.167': 2, '193.126.240.146': 34, '213.13.146.142': 153, '157.240.212.35': 133, '142.250.200.99': 100, '157.240.212.60': 68, '142.250.184.174': 62, '3.160.132.100': 30, '104.26.3.211': 7, '40.123.132.97': 4, '65.55.108.199': 4, '52.46.253.25': 7, '62.28.254.212': 32, '34.148.218.14': 4, '3.230.129.93': 18, '173.230.146.128': 4, '52.122.66.192': 3, '212.71.250.90': 6, '88.221.64.44': 1, '88.157.217.146': 32, '185.31.158.223': 24, '40.77.161.19': 6, '104.44.88.176': 3, '3.4.10.209': 6, '13.107.231.66': 6, '198.199.97.113': 2, '40.123.163.170': 16, '3.2.41.206': 4, '74.119.77.76': 1, '151.101.1.140': 19, '150.222.87.42': 1, '64.4.54.92': 1, '104.22.48.100': 2, '104.16.249.130': 12, '52.126.192.24': 2, '185.88.181.60': 19, '8.8.4.170': 4, '13.107.6.156': 1, '172.67.70.203': 4, '72.52.178.23': 9, '172.64.154.211': 5, '62.28.254.215': 15, '13.107.42.14': 4, '88.157.217.148': 3, '213.52.130.98': 5, '13.105.116.117': 1, '131.253.35.142': 4, '52.115.87.209': 8, '3.160.132.39': 14, '52.102.165.37': 3, '52.184.170.96': 1, '198.58.100.67': 6, '13.34.11.136': 9, '13.34.70.144': 1, '3.160.132.55': 3, '191.235.249.204': 1, '199.232.194.137': 1, '52.239.160.61': 5, '191.238.135.134': 3}"
4,192.168.107.104,"{'157.240.212.60': 68, '142.250.184.174': 208, '191.235.250.6': 3, '88.157.217.148': 11, '193.126.240.146': 68, '142.250.200.132': 133, '134.70.65.233': 18, '52.245.157.177': 7, '213.13.146.142': 147, '176.9.67.69': 60, '151.101.134.167': 22, '193.137.20.123': 47, '3.160.132.39': 36, '66.254.114.41': 21, '40.77.200.128': 7, '88.157.217.145': 142, '157.240.212.174': 78, '142.250.200.99': 59, '40.77.138.195': 3, '157.240.212.35': 133, '62.28.254.215': 16, '88.157.217.146': 49, '13.107.38.236': 1, '88.221.64.44': 6, '62.28.254.212': 69, '130.35.130.171': 10, '204.79.197.212': 79, '173.255.217.190': 4, '13.107.42.9': 19, '52.126.220.47': 4, '3.160.132.100': 17, '52.125.131.250': 3, '185.15.58.224': 48, '52.165.58.158': 2, '139.144.243.240': 7, '172.64.154.211': 6, '185.88.181.9': 50, '104.244.42.129': 79, '65.55.207.208': 1, '192.18.205.134': 12, '104.26.3.211': 12, '172.104.216.55': 2, '40.79.89.87': 6, '74.207.253.90': 3, '104.22.48.100': 16, '65.55.210.148': 17, '150.222.233.77': 2, '109.74.195.46': 5, '3.160.132.61': 10, '150.222.70.216': 2, '13.107.6.156': 3, '140.204.112.222': 1, '3.160.132.55': 7, '13.105.25.63': 17, '185.88.181.60': 9, '185.31.158.223': 16, '13.107.42.14': 9, '3.33.34.142': 8, '147.154.46.18': 9, '99.78.196.239': 2, '209.240.212.132': 1, '34.3.3.36': 1, '172.105.158.93': 5, '52.113.198.118': 6, '13.34.14.193': 3, '52.112.73.158': 1, '72.52.178.23': 11, '40.123.144.31': 5, '104.16.249.130': 4, '45.60.74.62': 20, '52.225.137.237': 3, '40.97.20.72': 6, '52.225.137.73': 2, '150.171.22.33': 3, '52.46.251.203': 7, '191.238.72.192': 7, '65.55.146.73': 9, '134.70.17.176': 8, '13.34.18.139': 4, '40.79.89.50': 3, '15.230.218.157': 7, '45.79.13.13': 18, '151.101.0.84': 4, '20.136.6.51': 1, '23.97.116.104': 2, '3.33.44.11': 1, '20.201.152.3': 4, '104.26.13.207': 6, '131.253.3.202': 7, '212.71.246.213': 1, '40.78.219.64': 16, '74.207.254.103': 7, '150.222.102.195': 6, '65.55.120.245': 3, '150.222.141.148': 3, '52.219.218.23': 9, '142.4.160.50': 5, '129.148.202.202': 4}"
5,192.168.107.105,"{'213.13.146.142': 260, '104.26.3.211': 90, '142.250.184.174': 235, '157.240.212.35': 270, '168.61.141.47': 4, '204.79.197.212': 160, '13.107.42.14': 36, '72.52.178.23': 39, '3.160.132.100': 82, '142.250.200.99': 150, '157.240.212.174': 133, '176.9.67.69': 81, '142.250.200.132': 205, '104.22.48.100': 14, '62.28.254.212': 81, '52.108.2.218': 2, '40.101.58.59': 13, '88.157.217.148': 37, '52.108.4.157': 4, '157.240.212.60': 67, '157.56.11.109': 2, '88.157.217.145': 108, '185.88.181.9': 87, '104.244.42.129': 148, '70.37.165.176': 11, '15.230.190.33': 4, '193.137.20.123': 36, '13.107.226.183': 8, '45.60.74.62': 14, '193.126.240.146': 126, '40.79.90.89': 5, '185.15.58.224': 125, '3.160.132.55': 16, '67.207.71.191': 6, '3.160.132.61': 11, '66.254.114.41': 44, '143.42.170.146': 3, '151.101.134.167': 21, '185.31.158.223': 36, '62.28.254.215': 41, '2.21.39.20': 8, '142.4.178.27': 1, '52.93.60.57': 4, '52.96.11.103': 5, '13.107.6.156': 11, '40.79.90.209': 6, '176.32.124.223': 4, '40.82.118.145': 2, '88.221.64.44': 3, '3.2.43.49': 5, '40.91.12.47': 5, '52.239.173.146': 5, '172.67.70.203': 15, '40.77.245.171': 13, '3.4.2.201': 18, '88.157.217.146': 60, '172.64.154.211': 33, '52.115.255.227': 1, '52.239.148.134': 5, '162.219.224.115': 6, '20.95.50.112': 3, '129.213.0.194': 1, '104.16.249.130': 7, '150.222.233.113': 3, '52.176.162.146': 1, '199.223.232.54': 7, '68.221.151.243': 10, '130.185.81.219': 9, '54.239.101.35': 7, '205.251.226.220': 13, '199.232.194.137': 3, '139.144.242.64': 1, '34.148.218.14': 11, '3.160.132.39': 38, '20.140.17.212': 9, '198.199.101.126': 8, '52.93.254.69': 1, '63.246.121.152': 3, '40.77.175.12': 7, '137.184.254.92': 5, '104.26.13.207': 2, '134.65.63.220': 6, '192.26.25.221': 17, '172.105.152.14': 2, '185.88.181.60': 30, '142.4.179.131': 15, '199.127.233.25': 12, '23.103.211.111': 1, '52.94.29.80': 14, '65.55.217.37': 6, '15.181.254.58': 1, '199.30.31.77': 1, '74.207.224.154': 1, '52.103.133.18': 5, '52.176.234.71': 5, '157.56.14.106': 2, '40.79.92.75': 4, '143.244.204.198': 8, '40.123.184.11': 5, '52.95.255.33': 12, '143.244.206.177': 3, '143.42.238.175': 10, '15.248.8.236': 1, '52.108.124.95': 6, '198.58.102.191': 3, '18.34.234.210': 4, '207.46.198.135': 2, '139.144.243.85': 2, '13.105.37.64': 3, '20.201.152.84': 4, '104.212.68.77': 3, '150.222.136.43': 6, '13.34.43.235': 19, '52.108.140.21': 4, '52.126.192.56': 5, '52.115.62.229': 4, '52.102.165.167': 1, '52.93.64.9': 5, '157.55.108.116': 6, '15.230.190.152': 6, '198.211.108.171': 1, '150.222.0.145': 2, '65.55.110.153': 6, '13.107.253.84': 2}"
6,192.168.107.106,"{'185.15.58.224': 158, '62.28.254.215': 89, '142.250.200.99': 296, '104.244.42.129': 269, '213.13.146.142': 304, '88.157.217.145': 239, '142.250.200.132': 437, '193.126.240.146': 289, '66.254.114.41': 79, '15.230.192.125': 1, '176.9.67.69': 159, '204.79.197.212': 177, '176.32.114.194': 6, '88.221.64.44': 20, '185.88.181.9': 104, '3.160.132.100': 122, '88.157.217.146': 94, '173.255.192.228': 5, '142.250.184.174': 376, '157.240.212.60': 158, '157.240.212.174': 298, '157.240.212.35': 332, '147.154.123.48': 1, '151.101.134.167': 141, '170.187.139.57': 4, '20.201.223.159': 1, '169.155.145.100': 4, '52.246.147.241': 1, '62.28.254.212': 104, '50.116.3.213': 4, '207.127.124.4': 4, '34.148.218.14': 9, '23.223.98.11': 1, '134.70.9.131': 1, '13.107.13.170': 7, '198.99.2.214': 10, '52.176.238.109': 2, '193.137.20.123': 36, '23.103.191.250': 5, '157.55.212.16': 8, '3.160.132.39': 63, '162.250.238.165': 2, '104.26.3.211': 88, '140.204.12.146': 2, '168.61.131.191': 14, '132.145.0.197': 9, '40.97.33.66': 6, '65.55.51.63': 8, '104.16.249.130': 33, '104.26.14.51': 21, '52.245.149.129': 7, '157.55.103.252': 5, '74.207.254.59': 3, '209.123.162.239': 10, '52.95.217.151': 3, '13.105.14.137': 2, '40.77.200.222': 4, '185.31.158.223': 43, '192.241.167.99': 1, '13.104.129.3': 9, '40.82.117.119': 2, '185.88.181.60': 19, '205.251.252.219': 7, '150.222.176.143': 12, '52.46.249.191': 1, '88.157.217.148': 64, '52.126.211.66': 5, '216.39.155.209': 5, '45.79.13.241': 16, '52.95.27.23': 14, '72.14.188.6': 4, '172.64.154.211': 18, '13.107.42.14': 19, '13.105.61.26': 5, '134.170.220.208': 4, '199.232.194.137': 12, '3.4.2.24': 8, '52.125.134.239': 6, '178.79.148.117': 8, '192.29.134.89': 4, '192.26.25.128': 3, '199.30.27.114': 1, '40.70.87.249': 2, '173.255.220.24': 5, '13.105.107.16': 1, '157.55.39.156': 2, '52.103.16.192': 2, '52.122.66.35': 6, '129.213.0.169': 2, '131.253.25.180': 2, '157.56.80.40': 2, '52.95.28.177': 3, '178.79.166.114': 8, '72.52.178.23': 13, '23.103.206.172': 2, '15.230.130.101': 6, '213.52.130.122': 1, '52.46.166.86': 7, '52.94.144.28': 5, '45.79.247.68': 6, '104.22.48.100': 4, '72.14.178.31': 3, '192.29.134.58': 5, '99.77.252.134': 1, '23.97.126.193': 7, '52.112.168.100': 1, '129.146.14.221': 2, '131.253.35.202': 8, '52.101.102.198': 5, '51.8.145.146': 1, '13.34.75.122': 3, '3.2.13.86': 3, '207.135.21.138': 5, '191.237.202.101': 4, '40.66.0.238': 11, '172.67.70.203': 19, '178.79.148.83': 1, '52.219.219.66': 1, '40.123.135.143': 1, '199.96.59.197': 10, '52.95.216.213': 7, '172.105.153.190': 7, '54.240.202.26': 1, '52.115.54.223': 28, '52.125.132.222': 2, '3.160.132.55': 9, '52.184.170.123': 8, '52.126.208.159': 1, '52.108.116.234': 8, '13.107.253.98': 8, '178.79.150.196': 5, '204.79.180.35': 1, '192.29.139.123': 1, '52.184.169.106': 7, '13.34.30.172': 1, '52.108.165.221': 5, '15.230.168.188': 9, '97.107.142.185': 1, '13.34.70.172': 5, '162.222.182.186': 9, '140.204.126.230': 10, '20.35.248.240': 6, '13.107.18.188': 1, '109.74.198.244': 1, '52.46.170.14': 1, '205.251.251.231': 2, '20.158.138.19': 2, '65.55.250.87': 4, '162.250.236.222': 1, '50.116.12.228': 2, '173.230.158.158': 1, '99.77.235.129': 20, '191.238.79.42': 2, '54.239.112.24': 6, '52.112.38.70': 1, '2.21.39.20': 1, '129.146.12.137': 1, '129.213.208.38': 6, '13.107.6.156': 4, '143.42.147.223': 1, '140.204.12.159': 3, '142.4.160.20': 1, '96.0.107.54': 1, '13.107.3.235': 4, '52.103.138.80': 9, '130.35.146.149': 6, '65.55.212.239': 14, '23.103.204.228': 3, '198.74.51.211': 7, '40.91.12.66': 2, '173.255.223.112': 4, '20.135.240.7': 7, '15.177.81.142': 9, '151.101.0.84': 2, '178.79.172.110': 2, '63.246.120.164': 7, '129.149.22.58': 6, '150.222.7.220': 3, '13.107.54.187': 3, '173.255.209.220': 1, '178.79.149.5': 2, '13.107.50.172': 15, '52.245.46.32': 4, '13.34.27.43': 10, '40.79.7.92': 3, '198.211.108.184': 2, '40.82.96.198': 3, '52.46.164.18': 2, '52.101.102.97': 1, '40.97.13.126': 4, '65.55.146.81': 3}"
7,192.168.107.107,"{'76.223.173.203': 3, '88.157.217.148': 8, '157.240.212.174': 153, '104.244.42.129': 110, '157.240.212.35': 181, '104.22.48.100': 22, '185.15.58.224': 78, '3.160.132.39': 12, '168.63.88.80': 6, '88.157.217.146': 62, '198.74.60.141': 4, '62.28.254.212': 110, '104.26.3.211': 27, '45.79.13.63': 1, '3.160.132.100': 91, '213.13.146.142': 145, '88.221.64.44': 8, '52.239.164.149': 3, '157.240.212.60': 82, '134.170.222.213': 16, '88.157.217.145': 128, '13.107.42.14': 23, '40.79.49.84': 4, '132.145.0.224': 8, '142.250.200.132': 227, '176.9.67.69': 132, '72.52.178.23': 25, '157.55.106.150': 5, '142.250.184.174': 288, '97.107.137.180': 10, '185.88.181.60': 37, '70.37.1.251': 10, '172.64.154.211': 27, '193.126.240.146': 165, '204.79.197.212': 131, '104.26.14.51': 18, '193.137.20.123': 61, '97.107.140.100': 4, '54.239.99.21': 5, '199.232.194.137': 2, '34.148.218.14': 3, '142.250.200.99': 172, '40.77.244.64': 1, '151.101.134.167': 34, '52.94.240.103': 1, '143.42.191.231': 5, '40.96.52.72': 2, '191.233.52.148': 1, '172.67.70.203': 19, '185.31.158.223': 27, '66.254.114.41': 21, '185.88.181.9': 41, '109.74.204.218': 1, '13.107.6.156': 9, '150.222.219.50': 8, '40.112.40.213': 3, '65.52.106.112': 3, '52.119.253.95': 6, '13.107.22.52': 5, '162.243.177.48': 5, '52.253.151.134': 11, '173.255.197.17': 6, '40.77.254.237': 5, '129.149.57.104': 3, '62.28.254.215': 70, '13.34.29.147': 2, '3.3.2.23': 12, '151.101.0.84': 9, '192.29.134.62': 1, '51.143.197.61': 12, '13.105.29.207': 2, '40.77.249.41': 2, '52.114.186.159': 3, '130.35.147.175': 3, '191.237.250.96': 3, '40.123.169.74': 2, '140.91.4.250': 13, '51.141.135.158': 1, '150.222.2.30': 2, '143.42.234.113': 1, '150.222.70.60': 6, '40.77.136.29': 5, '192.241.172.171': 3, '130.35.230.252': 1, '52.126.222.160': 4, '3.160.132.61': 6, '104.26.13.207': 6, '40.66.0.247': 4, '15.248.42.1': 1, '104.16.249.130': 14, '150.222.71.22': 4, '40.79.90.204': 4, '52.115.92.177': 2, '52.112.110.239': 2, '52.165.101.57': 1, '20.140.230.204': 1, '151.101.1.140': 8, '131.253.33.200': 1, '99.77.253.14': 5, '40.91.6.32': 15, '205.147.88.149': 13, '40.78.216.85': 12, '40.77.164.102': 5, '173.230.153.222': 12, '199.30.31.10': 1, '52.119.252.3': 13, '52.101.99.132': 2, '143.42.154.233': 2, '52.46.250.159': 5, '213.52.129.242': 1, '20.33.4.44': 2, '138.1.83.44': 5, '99.77.253.204': 8, '52.126.198.185': 4, '104.47.223.221': 7, '192.81.133.209': 2, '40.91.3.254': 1, '20.201.154.46': 1, '131.253.3.131': 8, '172.105.147.91': 8, '159.248.245.64': 13, '8.8.4.107': 1, '205.251.252.162': 1, '15.230.255.141': 14, '52.101.97.82': 8, '52.112.31.127': 16, '74.207.226.188': 1, '40.82.117.60': 9, '157.56.80.25': 9, '3.2.40.83': 5, '13.34.38.89': 7, '40.79.49.20': 4}"
8,192.168.107.108,"{'104.212.68.233': 4, '185.15.58.224': 51, '66.254.114.41': 38, '142.250.200.132': 61, '193.137.20.123': 40, '62.28.254.212': 32, '13.107.42.14': 20, '88.157.217.145': 60, '85.159.208.182': 5, '66.246.138.4': 4, '104.26.3.211': 5, '142.250.200.99': 23, '157.240.212.60': 22, '40.66.4.57': 12, '204.79.197.212': 27, '205.251.228.121': 6, '213.13.146.142': 50, '157.240.212.174': 28, '142.250.184.174': 60, '150.222.212.166': 12, '151.101.134.167': 9, '157.240.212.35': 42, '172.64.154.211': 6, '3.2.49.14': 10, '193.126.240.146': 19, '65.55.250.182': 2, '3.160.132.61': 3, '157.55.50.121': 13, '176.9.67.69': 1, '104.244.42.129': 13, '40.93.213.40': 13, '62.28.254.215': 18, '88.157.217.146': 7, '52.239.158.74': 1, '3.160.132.39': 21, '3.160.132.100': 22, '72.14.181.194': 6, '185.88.181.9': 18, '88.221.64.44': 15, '40.123.184.198': 5, '185.88.181.60': 1, '162.222.179.130': 2, '52.103.36.239': 6, '72.52.178.23': 11, '20.136.1.38': 5, '134.170.220.18': 1, '13.107.6.156': 1, '52.94.198.26': 3, '104.16.249.130': 1, '52.46.176.122': 12, '52.253.149.194': 3}"
9,192.168.107.109,"{'66.254.114.41': 11, '204.79.197.212': 2, '193.126.240.146': 12, '88.157.217.146': 12, '213.13.146.142': 5, '52.46.168.46': 1, '157.240.212.174': 13, '88.157.217.148': 8, '142.250.200.132': 23, '142.250.184.174': 9, '185.88.181.9': 2, '185.15.58.224': 26, '142.250.200.99': 5, '157.240.212.60': 1, '104.22.48.100': 1, '176.9.67.69': 2, '157.240.212.35': 4, '3.160.132.100': 12, '104.26.14.51': 1, '193.137.20.123': 1, '192.34.62.8': 8}"
