,src_ip,dst_ip,ratio
20076,192.168.107.55,52.144.197.179,0.25671722399747965
7204,192.168.107.154,52.126.224.7,0.24825849614939255
21794,192.168.107.69,157.55.103.170,0.24649985010747613
15533,192.168.107.25,52.93.60.50,0.23807761514018452
9221,192.168.107.170,150.222.214.120,0.23579518141788605
21148,192.168.107.64,20.136.5.27,0.23092760350378078
18416,192.168.107.45,68.221.144.235,0.22944600980144939
447,192.168.107.104,138.68.41.6,0.22572948020149405
13995,192.168.107.204,104.212.68.37,0.2229308572162961
21707,192.168.107.68,52.184.165.47,0.22179966877261853
6250,192.168.107.147,185.31.158.223,0.22166005146770185
20632,192.168.107.60,52.246.144.163,0.2205799812909261
21862,192.168.107.69,52.127.108.97,0.2181925038390809
25408,192.168.107.95,173.255.237.238,0.21692964349438476
16050,192.168.107.29,52.94.248.48,0.2167103582711568
23381,192.168.107.80,131.253.41.220,0.21614701866181157
3349,192.168.107.127,143.244.203.198,0.21540388227927365
7654,192.168.107.157,52.122.68.135,0.21535949174533578
11142,192.168.107.184,69.164.201.182,0.2151989362790222
18126,192.168.107.44,15.230.5.58,0.21515927985588165
19311,192.168.107.51,137.184.240.36,0.21466726445910458
13013,192.168.107.197,199.36.156.38,0.2144750404947725
21352,192.168.107.66,137.184.245.156,0.21409738424476943
2755,192.168.107.121,205.251.248.139,0.21353917979733672
15669,192.168.107.26,52.93.76.213,0.2124018413214189
6906,192.168.107.151,65.55.212.249,0.2123370110330993
19702,192.168.107.53,130.35.203.118,0.2114091708154967
6631,192.168.107.15,80.85.84.69,0.21136708051218597
9860,192.168.107.175,52.245.71.152,0.21133208911699522
24454,192.168.107.89,13.107.42.235,0.21051085455773919
22074,192.168.107.70,52.119.206.123,0.2098119250825147
5083,192.168.107.139,134.70.16.133,0.2095079095735946
6000,192.168.107.145,52.176.239.74,0.2092127970264171
3499,192.168.107.128,138.197.253.234,0.20844566790589436
8050,192.168.107.160,131.253.27.127,0.20824369356819508
3893,192.168.107.130,15.230.220.238,0.20736051605449382
11569,192.168.107.188,162.219.224.115,0.20735222711878992
10257,192.168.107.179,199.69.58.237,0.20728110599078342
10157,192.168.107.178,52.103.164.198,0.206742322170211
23015,192.168.107.77,199.69.59.248,0.20670607730910714
2285,192.168.107.118,3.230.129.93,0.2066307933741516
7767,192.168.107.158,52.103.36.208,0.20634632270566505
25120,192.168.107.93,143.42.147.165,0.20534049037892918
227,192.168.107.102,104.26.3.211,0.20524124942483227
17189,192.168.107.38,131.186.6.101,0.20467799366005157
3327,192.168.107.127,13.105.61.0,0.2043394060997191
8196,192.168.107.161,3.230.129.93,0.20354751141504995
8536,192.168.107.166,140.204.112.234,0.20313001973472852
12143,192.168.107.192,15.230.255.119,0.20277200484428032
22298,192.168.107.72,208.81.191.188,0.20241568530267384
21418,192.168.107.66,40.123.163.36,0.2016598621243558
14674,192.168.107.209,13.107.40.118,0.20164902243196725
15937,192.168.107.29,143.42.156.235,0.2016137206803576
17775,192.168.107.41,212.71.253.203,0.201514538412625
6489,192.168.107.149,52.94.193.60,0.2008395320843236
18037,192.168.107.43,191.235.248.8,0.19983642311886587
5108,192.168.107.139,150.222.102.6,0.19916897293380306
12518,192.168.107.194,3.2.48.164,0.19899402419300719
21288,192.168.107.65,20.42.175.53,0.1986526103248102
6011,192.168.107.145,69.12.58.223,0.19860951888301642
12969,192.168.107.197,143.244.223.58,0.19846260586103984
15100,192.168.107.210,178.79.163.141,0.19802693323438897
6687,192.168.107.150,16.12.0.6,0.19791621539661222
15779,192.168.107.27,52.126.212.203,0.1977137097236063
9107,192.168.107.17,191.235.243.231,0.1972787222794179
19814,192.168.107.53,34.3.3.111,0.19722543430182782
6254,192.168.107.147,20.35.248.104,0.19721075695037912
6167,192.168.107.146,40.82.82.129,0.1964610927152318
4025,192.168.107.131,157.55.39.229,0.19642627436764
2836,192.168.107.122,52.219.253.116,0.19640491388654704
7837,192.168.107.159,159.248.245.102,0.19636302163833075
3974,192.168.107.130,52.165.98.134,0.19623947156886729
9328,192.168.107.171,151.101.0.84,0.19623632575099845
11317,192.168.107.186,157.55.39.246,0.19618933255848434
20188,192.168.107.56,52.101.98.198,0.19610002294104154
18122,192.168.107.44,15.181.247.44,0.19607082690844518
25767,192.168.107.98,173.255.236.202,0.1960602157802504
14054,192.168.107.205,13.105.116.33,0.1960579766468291
23610,192.168.107.82,104.22.48.100,0.19598311567590632
23523,192.168.107.80,52.103.166.238,0.19597214783074451
9547,192.168.107.172,52.219.233.10,0.1959711559159073
23311,192.168.107.79,3.5.82.239,0.19576080619638545
2511,192.168.107.12,212.71.254.2,0.19569326312947213
16710,192.168.107.35,104.26.14.51,0.19563528851695022
7323,192.168.107.155,52.253.151.29,0.19536995006808897
12077,192.168.107.191,3.160.132.39,0.1952971636548848
21484,192.168.107.67,172.67.70.203,0.19527357888013624
388,192.168.107.103,52.101.98.124,0.1950181691303497
3667,192.168.107.129,13.34.32.2,0.19491049331167154
15501,192.168.107.25,40.77.167.37,0.19464324261494778
23529,192.168.107.80,52.125.134.22,0.19441818108145006
23767,192.168.107.83,34.3.3.2,0.19380701620817817
13099,192.168.107.198,13.105.107.98,0.1937629009762901
19899,192.168.107.54,13.34.68.13,0.19373345101500442
639,192.168.107.105,179.60.195.63,0.19370032925894187
14831,192.168.107.21,129.153.240.204,0.19363758924150767
15892,192.168.107.28,65.55.209.30,0.1934765112043038
12388,192.168.107.193,52.115.93.152,0.19346419644169974
13777,192.168.107.202,40.112.41.80,0.19332114969263997
22496,192.168.107.74,146.190.191.17,0.193175932320442
6910,192.168.107.151,72.52.178.23,0.19312300602623184
5228,192.168.107.139,40.97.20.61,0.19310473851131926
12127,192.168.107.192,138.197.241.232,0.192830011967324
6201,192.168.107.146,52.95.230.204,0.1926587686929501
19631,192.168.107.52,40.79.236.62,0.19250436326893047
5716,192.168.107.140,88.80.189.56,0.1924713231730303
18806,192.168.107.47,40.79.2.35,0.19245112025404876
5472,192.168.107.140,13.34.38.106,0.19228358992598615
15257,192.168.107.23,2.21.39.20,0.19199665998057705
11953,192.168.107.190,157.55.212.216,0.19189370008722825
17285,192.168.107.38,3.33.34.197,0.1918313770314316
15015,192.168.107.21,52.93.56.42,0.1917605553658814
15132,192.168.107.210,3.160.132.61,0.1916642748780188
14621,192.168.107.208,52.165.49.75,0.19162242866622428
19184,192.168.107.50,143.42.165.29,0.19155383432862294
24662,192.168.107.91,104.47.202.51,0.19149160296153614
18630,192.168.107.46,52.185.112.100,0.19141358797745772
14250,192.168.107.206,151.101.1.140,0.19138929877228816
6976,192.168.107.152,40.77.227.174,0.19130059278451694
13696,192.168.107.202,143.244.220.47,0.191223903720702
7209,192.168.107.154,52.46.254.61,0.19120807859223266
17320,192.168.107.38,52.93.60.186,0.19085097400639287
11294,192.168.107.186,132.226.128.183,0.19083163688456609
14814,192.168.107.209,74.207.235.203,0.19064518997095609
18326,192.168.107.45,178.79.166.147,0.19049153781453154
9795,192.168.107.175,168.63.88.117,0.19034602328762804
8242,192.168.107.162,178.79.146.24,0.19020345109012476
17916,192.168.107.42,198.199.106.112,0.19015176431894
10163,192.168.107.178,52.239.177.27,0.18998948475289168
14730,192.168.107.209,178.79.150.222,0.18995180722891566
7595,192.168.107.157,207.46.13.177,0.18977131152733492
16419,192.168.107.32,212.111.40.249,0.18932602921646746
25756,192.168.107.98,157.55.25.117,0.18931839137527484
8177,192.168.107.161,179.60.195.228,0.18926652243701583
17414,192.168.107.39,178.79.164.208,0.1892487939352171
12788,192.168.107.196,151.236.221.13,0.18901980446227123
24345,192.168.107.87,52.126.192.249,0.18868771929824563
8273,192.168.107.163,104.26.13.207,0.18861659859409297
22585,192.168.107.74,52.115.55.241,0.18857484901589455
12482,192.168.107.194,173.230.158.95,0.18834133084207397
22706,192.168.107.75,2.21.39.20,0.1883366706414381
22405,192.168.107.73,198.58.100.175,0.18816852215673432
18176,192.168.107.44,198.74.59.145,0.18794910941475826
18217,192.168.107.44,40.97.45.231,0.18794620055615457
18889,192.168.107.48,13.87.121.65,0.18794350033559826
24775,192.168.107.91,20.95.56.44,0.1877676607893823
